千克    qian_1 ke_4
到      dao_4
到店    dao_4 dian_4
厚衣服  hou_4 yi_1 fu_0
双子杀手        shuang_2 zi_3 sha_2 shou_3
总共    zong_3 gong_4
悬疑    xuan_2 yi_2
我和我的祖国    wo_3 he_2 wo_3 de_0 zu_3 guo_2
接机    jie_1 ji_2
斤      jin_1
犯罪现场        fan_4 zui_4 xian_4 chang_3
白鹿原  bai_2 lu_4 yuan_2
美元    mei_3 yuan_2
美嘉国际影城    mei_3 jia_2 guo_2 ji_2 ying_3 cheng_2
薄衣服  bao_2 yi_1 fu_0
